/* pageviews table loaded with below data to verify different sql test cases */
ID, User_ID, Page_ID, Visit_Date, Visit_Time
1,1,54,2018-01-01,11:54:34
13,1,54,2018-01-01,11:59:34
14,1,54,2018-01-01,12:59:34
15,1,54,2018-01-01,13:01:34
16,1,54,2018-01-01,13:02:34
2,1,55,2018-01-01,11:55:10
4,1,55,2018-01-02,17:10:08
3,1,56,2018-01-02,13:11:12
5,1,56,2018-01-02,17:12:45
17,2,54,2018-01-01,13:02:34
6,2,55,2018-01-01,10:25:18
7,2,55,2018-01-01,17:30:12
8,2,55,2018-01-01,17:45:57
9,3,54,2018-01-02,00:00:12
18,3,54,2018-01-01,13:03:34
19,3,54,2018-01-01,13:13:34
11,3,55,2018-01-02,01:20:11
10,3,56,2018-01-02,00:03:22
12,3,56,2018-01-02,01:40:09


/*  No matters like  session continuous or not */
Page_ID,Visit_Date,Total_User_Sessions
54,2018-01-01,8
54,2018-01-02,1
55,2018-01-01,4
55,2018-01-02,2
56,2018-01-02,4


/* (A user session is defined as continuous activity on a site where each activity is within 10 mins of each other */
Page_ID,Visit_Date,Total_User_Sessions
54,2018-01-01,3
54,2018-01-02,1
55,2018-01-01,4
55,2018-01-02,2
56,2018-01-02,4
